Sözcük,Frekans,Web_sayfasi
araştır,4459,158
merkez,3583,162
uygula,3532,192
iç,2559,230
araştırma,2471,170
bilim,2350,168
birim,1804,165
üniversite,1677,240
merkezi,1583,123
deü,1504,204
koordinatör,1347,159
sağ,1275,166
hakk,1248,242
eğitim,1216,173
ara,1216,179
başkan,1203,180
eylül,1193,232
program,1165,203
ek,1091,142
öğrenci,1089,190
yönet,1080,187
iş,1069,174
devam,1058,164
dok,1045,232
deva,1044,163
üniversitesi,1020,226
ol,1014,174
yüksekokul,931,94
fakülte,909,127
al,895,168
hizmet,891,188
kapsam,871,156
çalış,866,154
proje,845,176
duyuru,830,215
ilke,825,130
yay,779,156
gerçek,776,152
kiraz,772,58
il,771,192
top,723,120
genel,695,161
bilgi,688,216
kuru,657,183
tarih,646,160
personel,641,142
sağlık,628,150
kanun,627,35
ilişki,624,162
yıl,620,167
yönetim,598,174
akademik,577,168
belge,568,170
aralık,554,74
kurul,547,159
geç,544,250
mayıs,540,124
değer,531,151
sistem,531,149
geri,528,135
rektör,513,152
veri,507,108
bas,502,134
teknoloji,494,97
koru,494,95
spor,492,101
kaynak,489,98
üye,487,138
son,485,89
daire,483,93
enstitü,467,82
etkin,465,143
ileri,454,64
form,450,138
teknik,447,104
yap,444,116
haber,439,74
kur,437,147
işle,435,105
dış,431,116
nisa,430,84
mart,417,76
esas,416,111
faaliyet,415,146
et,415,132
kayıt,407,113
alim,404,54
kas,403,67
konuş,401,69
link,400,141
kurum,400,149
kalite,398,107
şubat,396,82
başvuru,392,122
ön,388,142
ocak,383,82
meslek,379,126
yeni,375,134
yer,372,128
uzak,372,103
er,369,90
alt,364,147
ala,364,136
bili,363,122
izmir,362,163
servis,358,76
ilgi,353,108
dil,351,117
ver,350,143
açık,349,61
toplu,345,97
güzel,344,99
dünya,340,129
yen,339,122
geliş,338,105
öğretim,330,133
sınav,328,67
işlem,327,108
dal,322,38
gün,322,80
müdür,317,105
yayın,315,123
alan,311,115
söz,309,85
elektronik,308,80
geliştir,304,98
grub,302,12
öğreti,301,133
sağlığ,301,79
insan,300,62
üzer,299,78
laboratuvar,298,79
ağustos,298,61
kitab,297,81
yüksek,297,107
gel,296,127
süreç,293,102
sözleş,292,62
güven,287,94
mezun,286,95
altın,285,138
topluluk,283,74
bozuk,280,62
tamamla,279,99
sanat,277,108
atıf,275,70
tıp,274,86
ilk,273,67
tv,273,60
varlık,272,60
ilet,272,213
hedef,270,93
devlet,266,89
sayı,264,112
değişik,261,74
destek,261,109
mevla,260,75
planla,260,103
imkan,260,68
iletişim,259,194
hızlı,257,72
kor,256,76
şema,255,82
rehber,255,90
büyük,254,49
unsur,252,62
ölçek,251,68
an,251,85
sosyal,250,128
dinamik,250,67
çocuk,250,88
tip,250,66
yönetmelik,249,106
kütüphane,247,93
kontenjan,246,67
gezi,246,62
arşiv,246,90
ders,244,107
istatistik,244,82
hız,243,78
oku,241,81
öğrenim,239,67
eposta,237,82
gör,237,104
ülke,237,58
önce,236,126
kaymakam,235,58
ilan,231,68
bul,230,73
idari,229,115
afet,228,70
engel,228,87
dr,228,73
bahar,227,38
yurt,226,82
ege,225,81
aç,224,71
hukuk,223,75
kişisel,223,70
deniz,220,73
nisan,220,74
kırmız,218,108
dönem,217,52
dağılım,216,66
bölüm,216,56
ay,216,23
say,215,46
güvenliğ,214,79
ba,214,87
rapor,213,94
temmuz,213,68
burs,212,84
at,212,48
ad,212,71
altyapı,209,70
hak,208,35
vizyon,205,116
birliğ,204,66
bilimsel,202,108
yan,201,101
anasayfa,200,130
kurulu,197,97
engels,196,75
web,193,114
bölge,193,90
töre,193,70
metn,193,16
bil,192,95
erişim,192,84
sorgula,191,74
biliş,191,67
kar,191,73
bası,191,104
aday,190,75
aydınlat,190,19
taraf,190,85
sür,189,122
uluslararası,189,90
hotar,189,59
temel,188,106
ulaş,188,116
of,185,24
yayınla,185,85
sayfa,183,107
sun,183,92
basın,183,89
kasım,183,61
kişi,181,98
yaban,181,92
duy,181,84
özel,181,118
orta,181,91
ağ,180,77
tarihi,180,111
ekim,180,63
tıkla,179,88
tanıt,179,94
güncel,179,101
az,179,9
sektör,178,72
gelenek,177,76
tören,176,68
hastane,175,76
browser,175,5
numara,175,10
hasta,173,78
prof,173,71
türkiye,173,65
genç,172,40
haziran,171,70
düzey,170,77
sözleşme,169,49
sonuç,169,37
kullan,169,110
ayar,168,80
yetiş,168,83
lisans,167,79
işletme,167,76
please,167,5
boyut,166,119
soyad,166,6
yaz,165,70
complete,165,3
plan,164,95
okul,164,81
kul,161,115
üst,160,101
bilgilen,159,53
kapa,159,90
komisyon,159,39
karar,158,52
türki,158,46
şehit,158,24
sürek,157,81
süre,157,88
fen,157,44
güç,157,40
su,156,50
iyi,155,90
talep,155,74
sürekli,154,81
değ,154,128
denet,154,62
türk,152,92
soru,152,45
mühendis,151,74
bulvar,150,147
pay,150,105
birlik,150,54
paydaş,149,69
telefon,148,82
kültür,148,93
ye,148,88
ana,147,57
sonra,146,57
otomasyon,144,70
politika,143,61
etki,143,93
kadın,143,53
kitap,143,16
